# Configuracion:
# Concentracion g/m^3_=_13400.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_300866.1766732861
# 
Resultados:
# tau_ns_=_(1.38+/-0.02)e+02
# dphi_rad_=_6.54+/-0.00
# SAR_W/g_=_162.72+/-4.06
# Hc_kA/m_=_7.03+/-0.08
# Mr_A/m_=_141.35+/-4.94
# Magnetizacion_max_emu/g_=_25.1+/-0.5
# Suceptibilidad_a_M=0_=_(2.950+/-0.145)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_050dA_100Mss_bobN1NFcit0010.txt	11.07	16.81	139.63	6.71	19878.50	364.04	3.008812e+05	2.621167e+01	6.525751e+00	165.38	130.900624	4653	2.857e-02
300kHz_050dA_100Mss_bobN1NFcit0011.txt	11.53	16.85	139.53	6.75	19878.50	359.33	3.008165e+05	2.592542e+01	6.528152e+00	165.12	132.247760	4654	2.861e-02
300kHz_050dA_100Mss_bobN1NFcit0012.txt	11.99	16.90	138.94	6.78	19878.50	354.31	3.008812e+05	2.554851e+01	6.529910e+00	163.90	133.237590	4653	2.790e-02
300kHz_050dA_100Mss_bobN1NFcit0013.txt	12.44	16.99	137.88	6.80	19878.50	351.14	3.008165e+05	2.535979e+01	6.529674e+00	162.50	133.104316	4654	2.820e-02
300kHz_050dA_100Mss_bobN1NFcit0014.txt	12.92	17.08	136.87	6.82	19878.50	348.30	3.008812e+05	2.516431e+01	6.530904e+00	162.07	133.795950	4653	2.780e-02
300kHz_050dA_100Mss_bobN1NFcit0015.txt	13.39	17.18	136.18	6.82	19878.50	343.85	3.008812e+05	2.483996e+01	6.532020e+00	160.69	134.424586	4653	2.746e-02
300kHz_050dA_100Mss_bobN1NFcit0016.txt	13.86	17.27	134.70	6.81	19878.50	341.82	3.008812e+05	2.468167e+01	6.529285e+00	157.95	132.885740	4653	2.731e-02
300kHz_050dA_100Mss_bobN1NFcit0017.txt	14.32	17.33	134.93	6.86	19878.50	339.10	3.008165e+05	2.451726e+01	6.532417e+00	158.82	134.648494	4654	2.733e-02
300kHz_050dA_100Mss_bobN1NFcit0018.txt	14.77	17.38	133.90	6.86	19878.50	335.57	3.008812e+05	2.428414e+01	6.532388e+00	157.32	134.632398	4653	2.719e-02
300kHz_050dA_100Mss_bobN1NFcit0019.txt	15.68	17.47	133.00	6.86	19878.50	333.46	3.008812e+05	2.410207e+01	6.531600e+00	155.66	134.188851	4653	2.721e-02
300kHz_050dA_100Mss_bobN1NFcit0020.txt	16.14	17.51	132.46	6.88	19878.50	331.36	3.008812e+05	2.395997e+01	6.533280e+00	155.77	135.133727	4653	2.715e-02
300kHz_050dA_100Mss_bobN1NFcit0021.txt	16.59	17.56	133.16	6.88	19878.50	331.05	3.008812e+05	2.394918e+01	6.533674e+00	155.93	135.357354	4653	2.679e-02
300kHz_050dA_100Mss_bobN1NFcit0022.txt	17.05	17.60	132.74	6.91	19878.50	329.49	3.008165e+05	2.388881e+01	6.534292e+00	155.88	135.706266	4654	2.682e-02
300kHz_050dA_100Mss_bobN1NFcit0023.txt	17.5	17.65	133.37	6.90	19878.50	329.65	3.008812e+05	2.385981e+01	6.534314e+00	155.74	135.718059	4653	2.714e-02
300kHz_050dA_100Mss_bobN1NFcit0024.txt	17.96	17.70	132.94	6.93	19878.50	326.77	3.008812e+05	2.370054e+01	6.535625e+00	155.49	136.458020	4653	2.749e-02
300kHz_050dA_100Mss_bobN1NFcit0025.txt	18.42	17.74	132.89	6.92	19878.50	328.07	3.008165e+05	2.376997e+01	6.535007e+00	155.54	136.110140	4654	2.678e-02
300kHz_050dA_100Mss_bobN1NFcit0026.txt	18.86	17.79	132.64	6.94	19878.50	326.90	3.008165e+05	2.371364e+01	6.535342e+00	155.37	136.298049	4654	2.664e-02
300kHz_050dA_100Mss_bobN1NFcit0027.txt	19.31	17.83	132.90	6.92	19878.50	327.46	3.008165e+05	2.373364e+01	6.534267e+00	154.86	135.691979	4654	2.704e-02
300kHz_050dA_100Mss_bobN1NFcit0028.txt	19.88	17.89	133.96	6.95	19878.50	326.92	3.008812e+05	2.372199e+01	6.537157e+00	156.56	137.323154	4653	2.719e-02
300kHz_050dA_100Mss_bobN1NFcit0029.txt	20.35	18.00	132.81	6.97	19878.50	325.94	3.008812e+05	2.364551e+01	6.536045e+00	155.38	136.695420	4653	2.754e-02
300kHz_050dA_100Mss_bobN1NFcit0030.txt	20.79	18.14	133.18	6.95	19878.50	327.46	3.008812e+05	2.374534e+01	6.535644e+00	155.80	136.468861	4653	2.715e-02
300kHz_050dA_100Mss_bobN1NFcit0031.txt	21.26	18.25	133.07	6.93	19878.50	327.72	3.008812e+05	2.374450e+01	6.534684e+00	155.21	135.928343	4653	2.718e-02
300kHz_050dA_100Mss_bobN1NFcit0032.txt	21.72	18.34	133.23	6.97	19878.50	325.29	3.008812e+05	2.358811e+01	6.536059e+00	155.02	136.702075	4653	2.754e-02
300kHz_050dA_100Mss_bobN1NFcit0033.txt	22.18	18.40	133.65	6.99	19878.50	324.86	3.008165e+05	2.361111e+01	6.537626e+00	156.07	137.587474	4654	2.737e-02
300kHz_050dA_100Mss_bobN1NFcit0034.txt	22.63	18.40	134.49	6.98	19878.50	325.94	3.008812e+05	2.365904e+01	6.537901e+00	156.59	137.742515	4653	2.725e-02
300kHz_050dA_100Mss_bobN1NFcit0035.txt	23.08	18.42	134.28	6.99	19878.50	326.03	3.008812e+05	2.366058e+01	6.537742e+00	156.50	137.653537	4653	2.784e-02
300kHz_050dA_100Mss_bobN1NFcit0036.txt	23.53	18.51	134.18	6.98	19878.50	326.35	3.008165e+05	2.371440e+01	6.537253e+00	156.53	137.377640	4654	2.746e-02
300kHz_050dA_100Mss_bobN1NFcit0037.txt	23.99	18.60	135.23	7.01	19878.50	325.93	3.008812e+05	2.370394e+01	6.539299e+00	157.73	138.533685	4653	2.747e-02
300kHz_050dA_100Mss_bobN1NFcit0038.txt	24.9	18.78	134.75	6.99	19878.50	326.78	3.008812e+05	2.370111e+01	6.537710e+00	156.75	137.635316	4653	2.806e-02
300kHz_050dA_100Mss_bobN1NFcit0039.txt	25.35	18.84	134.96	7.00	19878.50	326.40	3.008165e+05	2.369446e+01	6.537944e+00	156.82	137.766225	4654	2.761e-02
300kHz_050dA_100Mss_bobN1NFcit0040.txt	25.82	18.88	135.49	7.03	19878.50	325.69	3.008812e+05	2.369419e+01	6.539968e+00	158.07	138.911108	4653	2.824e-02
300kHz_050dA_100Mss_bobN1NFcit0041.txt	26.27	18.95	136.30	7.01	19878.50	328.10	3.008812e+05	2.385095e+01	6.539155e+00	158.62	138.452804	4653	2.829e-02
300kHz_050dA_100Mss_bobN1NFcit0042.txt	26.73	19.05	135.71	7.00	19878.50	327.83	3.008812e+05	2.380341e+01	6.537715e+00	157.43	137.638298	4653	2.816e-02
300kHz_050dA_100Mss_bobN1NFcit0043.txt	27.18	19.12	136.45	7.00	19878.50	328.22	3.008165e+05	2.386878e+01	6.537634e+00	157.78	137.592971	4654	2.792e-02
300kHz_050dA_100Mss_bobN1NFcit0044.txt	27.64	19.16	135.94	7.01	19878.50	327.63	3.008812e+05	2.380158e+01	6.537743e+00	157.44	137.654811	4653	2.834e-02
300kHz_050dA_100Mss_bobN1NFcit0045.txt	28.1	19.22	136.44	7.02	19878.50	329.03	3.008812e+05	2.390249e+01	6.538598e+00	158.62	138.136857	4653	2.835e-02
300kHz_050dA_100Mss_bobN1NFcit0046.txt	28.57	19.31	136.08	7.00	19878.50	328.93	3.008812e+05	2.389042e+01	6.536535e+00	157.29	136.973047	4653	2.837e-02
300kHz_050dA_100Mss_bobN1NFcit0047.txt	29.03	19.41	136.47	7.00	19878.50	328.60	3.008165e+05	2.385840e+01	6.537826e+00	157.83	137.702067	4654	2.790e-02
300kHz_050dA_100Mss_bobN1NFcit0048.txt	29.49	19.50	136.78	7.03	19878.50	328.90	3.008812e+05	2.389375e+01	6.538492e+00	158.50	138.077452	4653	2.858e-02
300kHz_050dA_100Mss_bobN1NFcit0049.txt	29.96	19.59	137.29	7.02	19878.50	329.09	3.008165e+05	2.393802e+01	6.538901e+00	159.01	138.309515	4654	2.832e-02
300kHz_050dA_100Mss_bobN1NFcit0050.txt	30.4	19.60	136.89	7.02	19878.50	329.33	3.008812e+05	2.393700e+01	6.538436e+00	158.75	138.046673	4653	2.854e-02
300kHz_050dA_100Mss_bobN1NFcit0051.txt	30.95	19.60	138.12	7.03	19878.50	330.70	3.008165e+05	2.405538e+01	6.539411e+00	160.10	138.596738	4654	2.841e-02
300kHz_050dA_100Mss_bobN1NFcit0052.txt	31.41	19.68	138.10	7.05	19878.50	329.05	3.008812e+05	2.394278e+01	6.540941e+00	160.32	139.462476	4653	2.877e-02
300kHz_050dA_100Mss_bobN1NFcit0053.txt	31.86	19.77	137.84	7.02	19878.50	329.90	3.008812e+05	2.398953e+01	6.539040e+00	159.47	138.388311	4653	2.882e-02
300kHz_050dA_100Mss_bobN1NFcit0054.txt	32.32	19.86	138.40	7.04	19878.50	330.58	3.008812e+05	2.404837e+01	6.539441e+00	160.11	138.615531	4653	2.880e-02
300kHz_050dA_100Mss_bobN1NFcit0055.txt	32.78	19.96	138.59	7.05	19878.50	329.61	3.008165e+05	2.400404e+01	6.540514e+00	160.43	139.221966	4654	2.913e-02
300kHz_050dA_100Mss_bobN1NFcit0056.txt	33.23	20.05	138.81	7.03	19878.50	330.38	3.008812e+05	2.403689e+01	6.539991e+00	160.37	138.927072	4653	2.869e-02
300kHz_050dA_100Mss_bobN1NFcit0057.txt	34.14	20.20	138.82	7.07	19878.50	329.74	3.008812e+05	2.402435e+01	6.541050e+00	160.93	139.523711	4653	2.895e-02
300kHz_050dA_100Mss_bobN1NFcit0058.txt	34.6	20.20	139.04	7.04	19878.50	331.09	3.008812e+05	2.411981e+01	6.540176e+00	161.03	139.029009	4653	2.907e-02
300kHz_050dA_100Mss_bobN1NFcit0059.txt	35.04	20.21	139.10	7.07	19878.50	330.41	3.008812e+05	2.405945e+01	6.540770e+00	160.99	139.365437	4653	2.888e-02
