# Temperatura_=_17.6
# Concentracion g/m^3_=_13400.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_300845.0218633167

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-2.858351e-06	-5.005533e-09	-1.980208e+01	-3.283578e+02
1.000000e-08	-2.857958e-06	-5.004571e-09	-1.979936e+01	-3.283690e+02
2.000000e-08	-2.856850e-06	-5.002224e-09	-1.979168e+01	-3.283318e+02
3.000000e-08	-2.854621e-06	-4.997519e-09	-1.977624e+01	-3.282499e+02
4.000000e-08	-2.851079e-06	-4.994815e-09	-1.975170e+01	-3.281205e+02
5.000000e-08	-2.846631e-06	-4.994341e-09	-1.972088e+01	-3.279352e+02
6.000000e-08	-2.841468e-06	-4.990858e-09	-1.968512e+01	-3.276827e+02
7.000000e-08	-2.835329e-06	-4.974617e-09	-1.964259e+01	-3.273538e+02
8.000000e-08	-2.828169e-06	-4.956422e-09	-1.959298e+01	-3.269450e+02
9.000000e-08	-2.820040e-06	-5.007590e-09	-1.953667e+01	-3.264618e+02
1.000000e-07	-2.810653e-06	-5.047385e-09	-1.947164e+01	-3.259177e+02
1.100000e-07	-2.799694e-06	-4.971818e-09	-1.939572e+01	-3.253317e+02
1.200000e-07	-2.787629e-06	-4.816963e-09	-1.931213e+01	-3.247229e+02
1.300000e-07	-2.774993e-06	-4.913902e-09	-1.922459e+01	-3.241060e+02
1.400000e-07	-2.761413e-06	-5.080880e-09	-1.913051e+01	-3.234869e+02
1.500000e-07	-2.746710e-06	-4.869655e-09	-1.902866e+01	-3.228615e+02
1.600000e-07	-2.730973e-06	-4.814606e-09	-1.891963e+01	-3.222173e+02
1.700000e-07	-2.713800e-06	-5.025060e-09	-1.880066e+01	-3.215366e+02
1.800000e-07	-2.695441e-06	-4.984288e-09	-1.867347e+01	-3.208007e+02
1.900000e-07	-2.676588e-06	-4.775020e-09	-1.854286e+01	-3.199935e+02
2.000000e-07	-2.657071e-06	-4.900966e-09	-1.840765e+01	-3.191042e+02
2.100000e-07	-2.636551e-06	-4.955789e-09	-1.826550e+01	-3.181279e+02
2.200000e-07	-2.615189e-06	-4.719187e-09	-1.811750e+01	-3.170648e+02
2.300000e-07	-2.593077e-06	-4.831332e-09	-1.796431e+01	-3.159187e+02
2.400000e-07	-2.569962e-06	-4.962942e-09	-1.780418e+01	-3.146956e+02
2.500000e-07	-2.545899e-06	-4.750640e-09	-1.763748e+01	-3.134020e+02
2.600000e-07	-2.521139e-06	-4.721950e-09	-1.746594e+01	-3.120440e+02
2.700000e-07	-2.495448e-06	-4.802997e-09	-1.728796e+01	-3.106266e+02
2.800000e-07	-2.468546e-06	-4.707803e-09	-1.710159e+01	-3.091530e+02
2.900000e-07	-2.440603e-06	-4.695502e-09	-1.690801e+01	-3.076237e+02
3.000000e-07	-2.411853e-06	-4.671314e-09	-1.670883e+01	-3.060369e+02
3.100000e-07	-2.382339e-06	-4.659374e-09	-1.650437e+01	-3.043883e+02
3.200000e-07	-2.352093e-06	-4.684137e-09	-1.629482e+01	-3.026725e+02
3.300000e-07	-2.321074e-06	-4.615140e-09	-1.607993e+01	-3.008848e+02
3.400000e-07	-2.289212e-06	-4.547835e-09	-1.585920e+01	-2.990232e+02
3.500000e-07	-2.256697e-06	-4.578561e-09	-1.563394e+01	-2.970897e+02
3.600000e-07	-2.223665e-06	-4.514832e-09	-1.540510e+01	-2.950902e+02
3.700000e-07	-2.189751e-06	-4.470556e-09	-1.517016e+01	-2.930336e+02
3.800000e-07	-2.154521e-06	-4.526309e-09	-1.492609e+01	-2.909287e+02
3.900000e-07	-2.118292e-06	-4.425435e-09	-1.467510e+01	-2.887813e+02
4.000000e-07	-2.081613e-06	-4.383394e-09	-1.442100e+01	-2.865922e+02
4.100000e-07	-2.044304e-06	-4.413461e-09	-1.416252e+01	-2.843566e+02
4.200000e-07	-2.006179e-06	-4.337826e-09	-1.389840e+01	-2.820658e+02
4.300000e-07	-1.967325e-06	-4.258015e-09	-1.362923e+01	-2.797108e+02
4.400000e-07	-1.927730e-06	-4.274716e-09	-1.335492e+01	-2.772854e+02
4.500000e-07	-1.887507e-06	-4.241619e-09	-1.307627e+01	-2.747895e+02
4.600000e-07	-1.846952e-06	-4.189113e-09	-1.279531e+01	-2.722293e+02
4.700000e-07	-1.806027e-06	-4.154520e-09	-1.251179e+01	-2.696153e+02
4.800000e-07	-1.764296e-06	-4.099731e-09	-1.222269e+01	-2.669579e+02
4.900000e-07	-1.721371e-06	-4.058338e-09	-1.192531e+01	-2.642640e+02
5.000000e-07	-1.677458e-06	-4.014987e-09	-1.162109e+01	-2.615330e+02
5.100000e-07	-1.633066e-06	-3.979505e-09	-1.131356e+01	-2.587570e+02
5.200000e-07	-1.588324e-06	-3.927921e-09	-1.100359e+01	-2.559231e+02
5.300000e-07	-1.543148e-06	-3.898165e-09	-1.069062e+01	-2.530184e+02
5.400000e-07	-1.497403e-06	-3.857097e-09	-1.037371e+01	-2.500344e+02
5.500000e-07	-1.451064e-06	-3.804958e-09	-1.005268e+01	-2.469706e+02
5.600000e-07	-1.404170e-06	-3.741865e-09	-9.727805e+00	-2.438345e+02
5.700000e-07	-1.356716e-06	-3.687282e-09	-9.399058e+00	-2.406381e+02
5.800000e-07	-1.308784e-06	-3.654015e-09	-9.066988e+00	-2.373928e+02
5.900000e-07	-1.260492e-06	-3.606536e-09	-8.732431e+00	-2.341039e+02
6.000000e-07	-1.211904e-06	-3.554430e-09	-8.395827e+00	-2.307669e+02
6.100000e-07	-1.162820e-06	-3.499967e-09	-8.055784e+00	-2.273684e+02
6.200000e-07	-1.113086e-06	-3.451566e-09	-7.711237e+00	-2.238902e+02
6.300000e-07	-1.062683e-06	-3.388100e-09	-7.362052e+00	-2.203152e+02
6.400000e-07	-1.011599e-06	-3.327374e-09	-7.008154e+00	-2.166349e+02
6.500000e-07	-9.600111e-07	-3.265741e-09	-6.650764e+00	-2.128523e+02
6.600000e-07	-9.080186e-07	-3.209680e-09	-6.290570e+00	-2.089823e+02
6.700000e-07	-8.557320e-07	-3.159270e-09	-5.928339e+00	-2.050468e+02
6.800000e-07	-8.032576e-07	-3.096737e-09	-5.564807e+00	-2.010673e+02
6.900000e-07	-7.505663e-07	-3.031867e-09	-5.199772e+00	-1.970571e+02
7.000000e-07	-6.975235e-07	-2.966143e-09	-4.832302e+00	-1.930165e+02
7.100000e-07	-6.441770e-07	-2.907819e-09	-4.462729e+00	-1.889318e+02
7.200000e-07	-5.906181e-07	-2.840627e-09	-4.091683e+00	-1.847797e+02
7.300000e-07	-5.368443e-07	-2.771207e-09	-3.719149e+00	-1.805346e+02
7.400000e-07	-4.828813e-07	-2.702122e-09	-3.345304e+00	-1.761757e+02
7.500000e-07	-4.287114e-07	-2.636048e-09	-2.970026e+00	-1.716933e+02
7.600000e-07	-3.744401e-07	-2.566574e-09	-2.594045e+00	-1.670891e+02
7.700000e-07	-3.201143e-07	-2.488516e-09	-2.217688e+00	-1.623737e+02
7.800000e-07	-2.657152e-07	-2.410548e-09	-1.840821e+00	-1.575601e+02
7.900000e-07	-2.112399e-07	-2.335784e-09	-1.463428e+00	-1.526569e+02
8.000000e-07	-1.567275e-07	-2.267566e-09	-1.085776e+00	-1.476632e+02
8.100000e-07	-1.021766e-07	-2.187829e-09	-7.078589e-01	-1.425686e+02
8.200000e-07	-4.757231e-08	-2.106088e-09	-3.295714e-01	-1.373555e+02
8.300000e-07	7.047923e-09	-2.023828e-09	4.882659e-02	-1.320054e+02
8.400000e-07	6.165452e-08	-1.940119e-09	4.271301e-01	-1.265052e+02
8.500000e-07	1.162298e-07	-1.850531e-09	8.052167e-01	-1.208502e+02
8.600000e-07	1.707772e-07	-1.757383e-09	1.183110e+00	-1.150450e+02
8.700000e-07	2.252609e-07	-1.668852e-09	1.560562e+00	-1.090989e+02
8.800000e-07	2.796709e-07	-1.581433e-09	1.937504e+00	-1.030203e+02
8.900000e-07	3.340371e-07	-1.492496e-09	2.314142e+00	-9.681011e+01
9.000000e-07	3.883404e-07	-1.389941e-09	2.690344e+00	-9.045809e+01
9.100000e-07	4.425169e-07	-1.285243e-09	3.065668e+00	-8.394286e+01
9.200000e-07	4.964833e-07	-1.181480e-09	3.439536e+00	-7.723562e+01
9.300000e-07	5.502587e-07	-1.076167e-09	3.812081e+00	-7.030618e+01
