# Temperatura_=_47.13971153846153
# Concentracion g/m^3_=_13400.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_300861.0596501266
# Promedio de 104 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.497545e-09	-1.421072e-08	-3.830927e+01	-9.321272e+02
1.000000e-08	-5.495740e-09	-1.420698e-08	-3.829669e+01	-9.318658e+02
2.000000e-08	-5.491968e-09	-1.420073e-08	-3.827040e+01	-9.314921e+02
3.000000e-08	-5.486444e-09	-1.419550e-08	-3.823191e+01	-9.310142e+02
4.000000e-08	-5.479303e-09	-1.418885e-08	-3.818215e+01	-9.304413e+02
5.000000e-08	-5.470516e-09	-1.417736e-08	-3.812091e+01	-9.297758e+02
6.000000e-08	-5.459771e-09	-1.416110e-08	-3.804604e+01	-9.290073e+02
7.000000e-08	-5.446937e-09	-1.413712e-08	-3.795661e+01	-9.281133e+02
8.000000e-08	-5.432078e-09	-1.412468e-08	-3.785306e+01	-9.270673e+02
9.000000e-08	-5.414862e-09	-1.415167e-08	-3.773309e+01	-9.258520e+02
1.000000e-07	-5.395329e-09	-1.414509e-08	-3.759698e+01	-9.244721e+02
1.100000e-07	-5.373827e-09	-1.409596e-08	-3.744715e+01	-9.229587e+02
1.200000e-07	-5.350536e-09	-1.405741e-08	-3.728484e+01	-9.213639e+02
1.300000e-07	-5.325788e-09	-1.398186e-08	-3.711239e+01	-9.197433e+02
1.400000e-07	-5.299557e-09	-1.396470e-08	-3.692960e+01	-9.181349e+02
1.500000e-07	-5.271468e-09	-1.400536e-08	-3.673386e+01	-9.165407e+02
1.600000e-07	-5.241640e-09	-1.391218e-08	-3.652601e+01	-9.149214e+02
1.700000e-07	-5.210240e-09	-1.389643e-08	-3.630720e+01	-9.132042e+02
1.800000e-07	-5.176898e-09	-1.393616e-08	-3.607485e+01	-9.113060e+02
1.900000e-07	-5.141527e-09	-1.383935e-08	-3.582837e+01	-9.091597e+02
2.000000e-07	-5.104579e-09	-1.381567e-08	-3.557091e+01	-9.067369e+02
2.100000e-07	-5.065957e-09	-1.376519e-08	-3.530177e+01	-9.040558e+02
2.200000e-07	-5.025517e-09	-1.366458e-08	-3.501997e+01	-9.011722e+02
2.300000e-07	-4.983167e-09	-1.367457e-08	-3.472485e+01	-8.981570e+02
2.400000e-07	-4.938814e-09	-1.365268e-08	-3.441578e+01	-8.950694e+02
2.500000e-07	-4.892716e-09	-1.360757e-08	-3.409455e+01	-8.919358e+02
2.600000e-07	-4.844821e-09	-1.357044e-08	-3.376080e+01	-8.887439e+02
2.700000e-07	-4.794907e-09	-1.349125e-08	-3.341297e+01	-8.854529e+02
2.800000e-07	-4.742909e-09	-1.344151e-08	-3.305063e+01	-8.820148e+02
2.900000e-07	-4.688982e-09	-1.337344e-08	-3.267485e+01	-8.783983e+02
3.000000e-07	-4.633398e-09	-1.330108e-08	-3.228751e+01	-8.746024e+02
3.100000e-07	-4.576177e-09	-1.325180e-08	-3.188877e+01	-8.706566e+02
3.200000e-07	-4.517147e-09	-1.321992e-08	-3.147743e+01	-8.666050e+02
3.300000e-07	-4.456453e-09	-1.318589e-08	-3.105448e+01	-8.624835e+02
3.400000e-07	-4.394287e-09	-1.309459e-08	-3.062128e+01	-8.582996e+02
3.500000e-07	-4.330654e-09	-1.301677e-08	-3.017786e+01	-8.540252e+02
3.600000e-07	-4.265522e-09	-1.293807e-08	-2.972399e+01	-8.496059e+02
3.700000e-07	-4.198725e-09	-1.286034e-08	-2.925852e+01	-8.449827e+02
3.800000e-07	-4.130257e-09	-1.280453e-08	-2.878140e+01	-8.401183e+02
3.900000e-07	-4.060312e-09	-1.272324e-08	-2.829400e+01	-8.350140e+02
4.000000e-07	-3.989066e-09	-1.265059e-08	-2.779752e+01	-8.297117e+02
4.100000e-07	-3.916559e-09	-1.257732e-08	-2.729227e+01	-8.242760e+02
4.200000e-07	-3.842592e-09	-1.249234e-08	-2.677683e+01	-8.187664e+02
4.300000e-07	-3.766930e-09	-1.239600e-08	-2.624959e+01	-8.132095e+02
4.400000e-07	-3.689639e-09	-1.229937e-08	-2.571099e+01	-8.075841e+02
4.500000e-07	-3.610893e-09	-1.222383e-08	-2.516225e+01	-8.018265e+02
4.600000e-07	-3.530658e-09	-1.213800e-08	-2.460314e+01	-7.958544e+02
4.700000e-07	-3.449015e-09	-1.204201e-08	-2.403421e+01	-7.896000e+02
