# 260701_13:00:55.257735
t	CH1	CH2
0.000000e+00	-5.067319e-04	-2.026027e-01
1.000000e-08	7.787254e-03	-4.857083e-01
2.000000e-08	-5.176535e-03	-7.215250e-01
3.000000e-08	4.724181e-03	-1.024132e+00
4.000000e-08	-3.730869e-03	-1.298915e+00
5.000000e-08	2.537266e-03	-1.643099e+00
6.000000e-08	-2.752215e-03	-1.855206e+00
7.000000e-08	3.501454e-02	-2.078863e+00
8.000000e-08	1.013281e-01	-2.401105e+00
9.000000e-08	-2.839464e-02	-2.792199e+00
1.000000e-07	-4.589893e-02	-3.234681e+00
1.100000e-07	-1.165108e-02	-3.517865e+00
1.200000e-07	-4.226957e-02	-3.686989e+00
1.300000e-07	-9.283011e-02	-3.990996e+00
1.400000e-07	6.254835e-02	-4.138419e+00
1.500000e-07	6.821546e-02	-4.392074e+00
1.600000e-07	-1.100819e-01	-4.711474e+00
1.700000e-07	1.965415e-01	-4.990946e+00
1.800000e-07	-1.581201e-01	-5.320566e+00
1.900000e-07	8.121476e-02	-5.665285e+00
2.000000e-07	-4.083004e-02	-5.866337e+00
2.100000e-07	-7.252593e-02	-6.213631e+00
2.200000e-07	1.475256e-01	-6.434729e+00
2.300000e-07	-1.131943e-01	-6.741019e+00
2.400000e-07	1.229227e-01	-7.036233e+00
2.500000e-07	-5.306369e-02	-7.279965e+00
2.600000e-07	-1.224709e-02	-7.614205e+00
2.700000e-07	4.815419e-02	-7.856389e+00
2.800000e-07	-1.026052e-01	-8.161470e+00
2.900000e-07	1.420261e-01	-8.360974e+00
3.000000e-07	-1.127955e-01	-8.618344e+00
3.100000e-07	1.089977e-01	-8.917968e+00
3.200000e-07	-3.792876e-02	-9.139520e+00
3.300000e-07	-1.144813e-02	-9.433103e+00
3.400000e-07	3.292100e-02	-9.604232e+00
3.500000e-07	-5.767805e-02	-9.876789e+00
3.600000e-07	9.320119e-02	-1.004488e+01
3.700000e-07	-7.002728e-02	-1.038100e+01
3.800000e-07	8.512963e-02	-1.056112e+01
3.900000e-07	-5.691952e-02	-1.078312e+01
4.000000e-07	4.904427e-02	-1.102268e+01
4.100000e-07	-2.272588e-02	-1.119516e+01
4.200000e-07	1.517947e-02	-1.139423e+01
4.300000e-07	1.128729e-02	-1.162744e+01
4.400000e-07	-2.664232e-04	-1.191897e+01
4.500000e-07	2.618395e-02	-1.211852e+01
4.600000e-07	-1.169988e-02	-1.229794e+01
4.700000e-07	2.905896e-02	-1.246584e+01
4.800000e-07	-1.523667e-02	-1.263779e+01
4.900000e-07	3.411250e-02	-1.286626e+01
5.000000e-07	-1.399683e-02	-1.303478e+01
5.100000e-07	2.661753e-02	-1.320370e+01
5.200000e-07	-8.740980e-03	-1.336360e+01
5.300000e-07	2.763696e-02	-1.356099e+01
5.400000e-07	3.114236e-03	-1.370837e+01
5.500000e-07	2.092062e-02	-1.385626e+01
5.600000e-07	9.911125e-03	-1.401566e+01
5.700000e-07	1.151511e-02	-1.418315e+01
5.800000e-07	1.211246e-02	-1.429799e+01
5.900000e-07	6.184972e-03	-1.447683e+01
6.000000e-07	1.465826e-02	-1.456150e+01
6.100000e-07	1.233316e-02	-1.469739e+01
6.200000e-07	2.347637e-02	-1.482278e+01
6.300000e-07	1.576657e-02	-1.491949e+01
6.400000e-07	1.935615e-02	-1.504626e+01
6.500000e-07	1.208374e-02	-1.512949e+01
6.600000e-07	1.811692e-02	-1.521426e+01
6.700000e-07	1.773922e-02	-1.530987e+01
6.800000e-07	2.194840e-02	-1.540270e+01
6.900000e-07	2.144558e-02	-1.552636e+01
7.000000e-07	2.396771e-02	-1.555902e+01
7.100000e-07	2.225814e-02	-1.564368e+01
7.200000e-07	2.258326e-02	-1.570786e+01
7.300000e-07	2.309622e-02	-1.576165e+01
7.400000e-07	2.693441e-02	-1.580313e+01
7.500000e-07	2.977646e-02	-1.586634e+01
7.600000e-07	3.248397e-02	-1.594899e+01
7.700000e-07	3.165436e-02	-1.593802e+01
7.800000e-07	3.330909e-02	-1.598154e+01
7.900000e-07	3.489729e-02	-1.596412e+01
8.000000e-07	3.881455e-02	-1.599163e+01
8.100000e-07	4.051798e-02	-1.601221e+01
8.200000e-07	4.281031e-02	-1.601478e+01
