# Temperatura_=_21.67
# Concentracion g/m^3_=_18700.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301076.01914203924

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-2.934765e-06	-7.682468e-09	-1.977340e+01	-5.015652e+02
1.000000e-08	-2.933616e-06	-7.683181e-09	-1.976566e+01	-5.013674e+02
2.000000e-08	-2.931371e-06	-7.678107e-09	-1.975053e+01	-5.009987e+02
3.000000e-08	-2.927931e-06	-7.669630e-09	-1.972736e+01	-5.004943e+02
4.000000e-08	-2.923540e-06	-7.659107e-09	-1.969777e+01	-4.998782e+02
5.000000e-08	-2.918366e-06	-7.643371e-09	-1.966291e+01	-4.991528e+02
6.000000e-08	-2.912242e-06	-7.616486e-09	-1.962164e+01	-4.982980e+02
7.000000e-08	-2.905122e-06	-7.594429e-09	-1.957368e+01	-4.972798e+02
8.000000e-08	-2.896959e-06	-7.615192e-09	-1.951868e+01	-4.960659e+02
9.000000e-08	-2.887402e-06	-7.645621e-09	-1.945428e+01	-4.946423e+02
1.000000e-07	-2.876333e-06	-7.583121e-09	-1.937971e+01	-4.930238e+02
1.100000e-07	-2.864204e-06	-7.451686e-09	-1.929798e+01	-4.912539e+02
1.200000e-07	-2.851364e-06	-7.440970e-09	-1.921147e+01	-4.893934e+02
1.300000e-07	-2.837554e-06	-7.544022e-09	-1.911843e+01	-4.875015e+02
1.400000e-07	-2.822482e-06	-7.452002e-09	-1.901688e+01	-4.856154e+02
1.500000e-07	-2.806293e-06	-7.326400e-09	-1.890780e+01	-4.837369e+02
1.600000e-07	-2.788986e-06	-7.417432e-09	-1.879119e+01	-4.818298e+02
1.700000e-07	-2.770516e-06	-7.416034e-09	-1.866675e+01	-4.798305e+02
1.800000e-07	-2.751197e-06	-7.278960e-09	-1.853658e+01	-4.776674e+02
1.900000e-07	-2.731193e-06	-7.280157e-09	-1.840180e+01	-4.752822e+02
2.000000e-07	-2.710310e-06	-7.285420e-09	-1.826110e+01	-4.726471e+02
2.100000e-07	-2.688453e-06	-7.128717e-09	-1.811384e+01	-4.697689e+02
2.200000e-07	-2.665748e-06	-7.099166e-09	-1.796086e+01	-4.666832e+02
2.300000e-07	-2.642210e-06	-7.155808e-09	-1.780227e+01	-4.634375e+02
2.400000e-07	-2.617855e-06	-7.030525e-09	-1.763817e+01	-4.600729e+02
2.500000e-07	-2.592636e-06	-6.920230e-09	-1.746826e+01	-4.566087e+02
2.600000e-07	-2.566198e-06	-6.932631e-09	-1.729013e+01	-4.530383e+02
2.700000e-07	-2.538540e-06	-6.884454e-09	-1.710378e+01	-4.493341e+02
2.800000e-07	-2.510041e-06	-6.802869e-09	-1.691176e+01	-4.454622e+02
2.900000e-07	-2.480718e-06	-6.719688e-09	-1.671419e+01	-4.413977e+02
3.000000e-07	-2.450528e-06	-6.657632e-09	-1.651078e+01	-4.371367e+02
3.100000e-07	-2.419601e-06	-6.637846e-09	-1.630241e+01	-4.326993e+02
3.200000e-07	-2.387908e-06	-6.540773e-09	-1.608887e+01	-4.281228e+02
3.300000e-07	-2.355512e-06	-6.441600e-09	-1.587060e+01	-4.234484e+02
3.400000e-07	-2.322423e-06	-6.405244e-09	-1.564766e+01	-4.187062e+02
3.500000e-07	-2.288346e-06	-6.322048e-09	-1.541806e+01	-4.139060e+02
3.600000e-07	-2.253134e-06	-6.238121e-09	-1.518081e+01	-4.090349e+02
3.700000e-07	-2.216991e-06	-6.199477e-09	-1.493730e+01	-4.040650e+02
3.800000e-07	-2.180145e-06	-6.081769e-09	-1.468904e+01	-3.989657e+02
3.900000e-07	-2.142634e-06	-5.974969e-09	-1.443630e+01	-3.937172e+02
4.000000e-07	-2.104367e-06	-5.944220e-09	-1.417847e+01	-3.883187e+02
4.100000e-07	-2.065289e-06	-5.854562e-09	-1.391518e+01	-3.827887e+02
4.200000e-07	-2.025520e-06	-5.738610e-09	-1.364723e+01	-3.771574e+02
4.300000e-07	-1.985212e-06	-5.668248e-09	-1.337565e+01	-3.714549e+02
4.400000e-07	-1.944358e-06	-5.595330e-09	-1.310039e+01	-3.656996e+02
4.500000e-07	-1.902773e-06	-5.498655e-09	-1.282021e+01	-3.598911e+02
4.600000e-07	-1.860242e-06	-5.397630e-09	-1.253365e+01	-3.540119e+02
4.700000e-07	-1.816725e-06	-5.294209e-09	-1.224045e+01	-3.480342e+02
4.800000e-07	-1.772508e-06	-5.209680e-09	-1.194252e+01	-3.419323e+02
4.900000e-07	-1.727829e-06	-5.128804e-09	-1.164149e+01	-3.356921e+02
5.000000e-07	-1.682618e-06	-5.029156e-09	-1.133688e+01	-3.293167e+02
5.100000e-07	-1.636730e-06	-4.920560e-09	-1.102770e+01	-3.228245e+02
5.200000e-07	-1.590235e-06	-4.816879e-09	-1.071443e+01	-3.162414e+02
5.300000e-07	-1.543229e-06	-4.720702e-09	-1.039773e+01	-3.095899e+02
5.400000e-07	-1.495690e-06	-4.623267e-09	-1.007743e+01	-3.028807e+02
5.500000e-07	-1.447663e-06	-4.517427e-09	-9.753839e+00	-2.961083e+02
5.600000e-07	-1.399222e-06	-4.404441e-09	-9.427457e+00	-2.892545e+02
5.700000e-07	-1.350277e-06	-4.306069e-09	-9.097687e+00	-2.822959e+02
5.800000e-07	-1.300680e-06	-4.203702e-09	-8.763520e+00	-2.752140e+02
5.900000e-07	-1.250250e-06	-4.082785e-09	-8.423737e+00	-2.680029e+02
6.000000e-07	-1.199025e-06	-3.965518e-09	-8.078604e+00	-2.606724e+02
6.100000e-07	-1.147308e-06	-3.859816e-09	-7.730149e+00	-2.532447e+02
6.200000e-07	-1.095225e-06	-3.753844e-09	-7.379232e+00	-2.457466e+02
6.300000e-07	-1.042757e-06	-3.637305e-09	-7.025725e+00	-2.382003e+02
6.400000e-07	-9.898741e-07	-3.514198e-09	-6.669418e+00	-2.306170e+02
6.500000e-07	-9.366165e-07	-3.393332e-09	-6.310588e+00	-2.229940e+02
6.600000e-07	-8.830290e-07	-3.280094e-09	-5.949534e+00	-2.153184e+02
6.700000e-07	-8.291233e-07	-3.162562e-09	-5.586337e+00	-2.075734e+02
6.800000e-07	-7.749380e-07	-3.039653e-09	-5.221255e+00	-1.997464e+02
6.900000e-07	-7.205467e-07	-2.918004e-09	-4.854786e+00	-1.918345e+02
7.000000e-07	-6.660041e-07	-2.798892e-09	-4.487298e+00	-1.838454e+02
7.100000e-07	-6.112262e-07	-2.676911e-09	-4.118224e+00	-1.757946e+02
7.200000e-07	-5.561616e-07	-2.546254e-09	-3.747218e+00	-1.676992e+02
7.300000e-07	-5.009018e-07	-2.416113e-09	-3.374898e+00	-1.595712e+02
7.400000e-07	-4.454820e-07	-2.292621e-09	-3.001499e+00	-1.514133e+02
