# 260701_15:39:17.255494
t	CH1	CH2
0.000000e+00	-8.551940e-04	-1.031629e+00
1.000000e-08	7.895835e-04	-1.250445e+00
2.000000e-08	1.548665e-02	-1.441646e+00
3.000000e-08	6.292086e-02	-1.651999e+00
4.000000e-08	1.821599e-02	-1.842529e+00
5.000000e-08	-3.388708e-02	-2.147839e+00
6.000000e-08	-4.855324e-02	-2.400475e+00
7.000000e-08	-6.491465e-02	-2.526840e+00
8.000000e-08	5.183697e-02	-2.559496e+00
9.000000e-08	1.995809e-02	-2.714661e+00
1.000000e-07	-5.242243e-02	-3.010392e+00
1.100000e-07	7.304535e-02	-3.148842e+00
1.200000e-07	1.509859e-02	-3.335183e+00
1.300000e-07	-6.313089e-02	-3.535813e+00
1.400000e-07	4.075173e-02	-3.642076e+00
1.500000e-07	-3.999852e-02	-3.872104e+00
1.600000e-07	-2.664574e-02	-4.094128e+00
1.700000e-07	5.658116e-02	-4.220494e+00
1.800000e-07	1.141851e-03	-4.418094e+00
1.900000e-07	3.188061e-02	-4.551491e+00
2.000000e-07	-7.607139e-03	-4.806763e+00
2.100000e-07	-3.190575e-02	-4.959436e+00
2.200000e-07	3.796760e-02	-5.155258e+00
2.300000e-07	-1.969535e-02	-5.336211e+00
2.400000e-07	7.427016e-03	-5.537365e+00
2.500000e-07	2.704734e-02	-5.673603e+00
2.600000e-07	8.992930e-03	-5.892604e+00
2.700000e-07	1.640911e-02	-6.008948e+00
2.800000e-07	-2.326453e-02	-6.237942e+00
2.900000e-07	1.448716e-02	-6.369391e+00
3.000000e-07	6.873493e-03	-6.534181e+00
3.100000e-07	8.247659e-03	-6.653049e+00
3.200000e-07	2.755989e-02	-6.788865e+00
3.300000e-07	-7.077688e-03	-6.967360e+00
3.400000e-07	1.618524e-02	-7.136336e+00
3.500000e-07	4.954780e-03	-7.272523e+00
3.600000e-07	3.414528e-03	-7.409372e+00
3.700000e-07	1.274042e-02	-7.565713e+00
3.800000e-07	3.197636e-03	-7.745329e+00
3.900000e-07	2.356737e-02	-7.894203e+00
4.000000e-07	6.273201e-03	-8.020494e+00
4.100000e-07	9.483832e-03	-8.146361e+00
4.200000e-07	8.764719e-03	-8.262100e+00
4.300000e-07	7.757642e-03	-8.377863e+00
4.400000e-07	1.789370e-02	-8.482602e+00
4.500000e-07	4.666916e-03	-8.631544e+00
4.600000e-07	1.330820e-02	-8.776836e+00
4.700000e-07	1.065787e-02	-8.852649e+00
4.800000e-07	1.451254e-02	-8.935840e+00
4.900000e-07	1.569017e-02	-9.042100e+00
5.000000e-07	1.088605e-02	-9.125831e+00
5.100000e-07	1.521728e-02	-9.219524e+00
5.200000e-07	1.159939e-02	-9.364331e+00
5.300000e-07	1.302823e-02	-9.399467e+00
5.400000e-07	8.683240e-03	-9.553208e+00
5.500000e-07	1.367017e-02	-9.619895e+00
5.600000e-07	1.835228e-02	-9.664705e+00
5.700000e-07	1.977168e-02	-9.786361e+00
5.800000e-07	1.900212e-02	-9.831046e+00
5.900000e-07	1.557521e-02	-9.883678e+00
6.000000e-07	1.570194e-02	-9.956836e+00
6.100000e-07	1.356239e-02	-1.002842e+01
6.200000e-07	1.468937e-02	-1.004403e+01
6.300000e-07	1.659484e-02	-1.011616e+01
6.400000e-07	2.004628e-02	-1.013839e+01
6.500000e-07	2.300740e-02	-1.022009e+01
6.600000e-07	2.185492e-02	-1.028613e+01
6.700000e-07	2.074678e-02	-1.039433e+01
6.800000e-07	1.817651e-02	-1.041889e+01
6.900000e-07	2.000964e-02	-1.043102e+01
7.000000e-07	1.969189e-02	-1.046353e+01
7.100000e-07	2.073740e-02	-1.046266e+01
7.200000e-07	2.244331e-02	-1.051420e+01
7.300000e-07	2.318791e-02	-1.053476e+01
7.400000e-07	2.534440e-02	-1.055676e+01
7.500000e-07	2.644554e-02	-1.053678e+01
7.600000e-07	2.674162e-02	-1.053484e+01
7.700000e-07	2.534294e-02	-1.055736e+01
7.800000e-07	2.609400e-02	-1.056784e+01
7.900000e-07	2.653506e-02	-1.055584e+01
8.000000e-07	2.786003e-02	-1.055681e+01
8.100000e-07	2.814568e-02	-1.053526e+01
8.200000e-07	3.214709e-02	-1.053526e+01
8.300000e-07	3.633153e-02	-1.051471e+01
